-594,0 -69,0 899,0 230,0 -917,0 467,0 518,0 917,0 -370,0 -252,0 -819,0 767,0 -423,0 -637,0 -397,0 809,0 154,0 -887,0 586,0 -196,0 -220,0 -815,0 937,0 -21,0 705,0 -352,0 -220,0 -887,0 -877,0 867,0 -718,0 -424,0 -990,0 -933,0 -154,0 -778,0 -909,0 -831,0 -536,0 952,0 
-221,0 -69,0 -337,0 230,0 284,0 608,0 -516,0 -798,0 -899,0 -252,0 -917,0 -252,0 -221,0 905,0 -167,0 809,0 -257,0 -266,0 -759,0 -196,0 -220,0 930,0 979,0 -504,0 199,0 603,0 -721,0 -298,0 -855,0 867,0 50,0 -306,0 -990,0 641,0 427,0 -337,0 144,0 -167,0 -536,0 952,0 
-221,0 -69,0 -337,0 230,0 284,0 608,0 -516,0 -798,0 -899,0 -252,0 -917,0 -252,0 -221,0 905,0 -167,0 809,0 -257,0 -266,0 -759,0 -196,0 -220,0 930,0 979,0 -504,0 199,0 603,0 -721,0 -298,0 -855,0 867,0 50,0 -306,0 -990,0 641,0 427,0 -337,0 144,0 -167,0 -536,0 952,0 
-221,0 -69,0 -337,0 230,0 284,0 608,0 -516,0 -798,0 -899,0 -252,0 -917,0 -252,0 -221,0 905,0 -167,0 809,0 -257,0 -266,0 -759,0 -196,0 -220,0 930,0 979,0 -504,0 199,0 603,0 -721,0 -298,0 -855,0 867,0 50,0 -306,0 -990,0 641,0 427,0 -337,0 144,0 -167,0 -536,0 952,0 
-221,0 -69,0 -337,0 230,0 284,0 608,0 -516,0 -798,0 -899,0 -252,0 -917,0 -252,0 -221,0 905,0 -167,0 809,0 -257,0 -266,0 -759,0 -196,0 -220,0 930,0 979,0 -504,0 199,0 603,0 -721,0 -298,0 -855,0 867,0 50,0 -306,0 -990,0 641,0 427,0 -337,0 144,0 -167,0 -536,0 952,0 
-221,0 -69,0 -337,0 230,0 284,0 608,0 -516,0 -798,0 -899,0 -252,0 -917,0 -252,0 -221,0 905,0 -167,0 809,0 -257,0 -266,0 -759,0 -196,0 -220,0 930,0 979,0 -504,0 199,0 603,0 -721,0 -298,0 -855,0 867,0 50,0 -306,0 -990,0 641,0 427,0 -337,0 144,0 -167,0 -536,0 952,0 
-221,0 -69,0 -337,0 230,0 284,0 608,0 -516,0 -798,0 -899,0 -252,0 -917,0 -252,0 -221,0 905,0 -167,0 809,0 -257,0 -266,0 -759,0 -196,0 -220,0 930,0 979,0 -504,0 199,0 603,0 -721,0 -298,0 -855,0 867,0 50,0 -306,0 -990,0 641,0 427,0 -337,0 144,0 -167,0 -536,0 952,0 
-221,0 -69,0 -337,0 230,0 284,0 608,0 -516,0 -798,0 -899,0 -252,0 -917,0 -252,0 -221,0 905,0 -167,0 809,0 -257,0 -266,0 -759,0 -196,0 -220,0 930,0 979,0 -504,0 199,0 603,0 -721,0 -298,0 -855,0 867,0 50,0 -306,0 -990,0 641,0 427,0 -337,0 144,0 -167,0 -536,0 952,0 
-221,0 -69,0 -337,0 230,0 284,0 608,0 -516,0 -798,0 -899,0 -252,0 -917,0 -252,0 -221,0 905,0 -167,0 809,0 -257,0 -266,0 -759,0 -196,0 -220,0 930,0 979,0 -504,0 199,0 603,0 -721,0 -298,0 -855,0 867,0 50,0 -306,0 -990,0 641,0 427,0 -337,0 144,0 -167,0 -536,0 952,0 
-221,0 -69,0 -337,0 230,0 284,0 608,0 -516,0 -798,0 -899,0 -252,0 -917,0 -252,0 -221,0 905,0 -167,0 809,0 -257,0 -266,0 -759,0 -196,0 -220,0 930,0 979,0 -504,0 199,0 603,0 -721,0 -298,0 -855,0 867,0 50,0 -306,0 -990,0 641,0 427,0 -337,0 144,0 -167,0 -536,0 952,0 
-424,0 -69,0 -595,0 -27,0 -990,0 467,0 518,0 -798,0 -370,0 -252,0 -917,0 -252,0 -221,0 905,0 -742,0 809,0 -257,0 959,0 -759,0 -196,0 -220,0 930,0 979,0 -536,0 705,0 -809,0 -721,0 -298,0 -855,0 867,0 -637,0 -306,0 -990,0 -933,0 427,0 -337,0 144,0 -167,0 427,0 952,0 
-424,0 -69,0 -595,0 -27,0 -990,0 467,0 518,0 -798,0 -370,0 -252,0 -917,0 -252,0 -221,0 905,0 -742,0 809,0 -257,0 959,0 -759,0 -196,0 -220,0 930,0 979,0 -536,0 705,0 -809,0 -721,0 -298,0 -855,0 867,0 -637,0 -306,0 -990,0 -933,0 427,0 -337,0 144,0 -167,0 427,0 952,0 
-424,0 -69,0 -595,0 -27,0 -990,0 467,0 518,0 -798,0 -370,0 -252,0 -917,0 -252,0 -221,0 905,0 -742,0 809,0 -257,0 959,0 -759,0 -196,0 -220,0 930,0 979,0 -536,0 705,0 -809,0 -721,0 -298,0 -855,0 867,0 -637,0 -306,0 -990,0 -933,0 427,0 -337,0 144,0 -167,0 427,0 952,0 
